Exercise Name,Equipment,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,No_of_Sets,No_of_Reps,BMI,gender,type of plan
Neck Flexion,Cable,Basic or Auxiliary,Isolated,Pull,Sit on bench facing away from middle pulley. Place neck in harness cable attachment. Place arms on lower thighs for support.,Move head away from pulley by bending neck forward until chin touches upper chest. Return head by hyperextending neck and repeat.,"Sternocleidomastoid,","Rectus Abdominis, Obliques, ",Neck,2,Sternocleidomastoid,4,15,20.28312872,female,muscle gain
Neck Flexion,Lever (plate loaded),Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.,Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.,"Sternocleidomastoid,","Latissimus Dorsi, Deltoid, Posterior, Rhomboids, Trapezius, Middle, Trapezius, Lower, Triceps Brachii, Rectus Abdominis, Obliques, ",Neck,2,Sternocleidomastoid,3,14,21.00525585,female,muscle gain
Lateral Neck Flexion,Lever (plate loaded),Auxiliary,Isolated,Pull,Sit on seat in machine with feet apart   . Position padded lever on side of head. Center body so neck is in line with lever axis. Grasp handles for support.,Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.,"Sternocleidomastoid,","Latissimus Dorsi, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Coracobrachialis, Pectoralis Minor, ",Neck,2,"Sternocleidomastoid, Levator Scapulae",4,11,21.41892189,female,muscle gain
Neck Flexion,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.,Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.,"Sternocleidomastoid,","Latissimus Dorsi, Deltoid, Posterior, Rhomboids, Trapezius, Middle, Trapezius, Lower, Triceps Brachii, Rectus Abdominis, Obliques, ",Neck,2,Sternocleidomastoid,3,10,22.25672081,female,muscle gain
Lateral Neck Flexion,Lever (selectorized),Auxiliary,Isolated,Pull,Sit on seat in machine with feet apart. Position side of head on padded lever. Center body so neck is in line with lever axis. Grasp handles for support.,Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.,"Sternocleidomastoid,","Latissimus Dorsi, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Coracobrachialis, Pectoralis Minor, ",Neck,2,"Sternocleidomastoid, Levator Scapulae",3,9,21.92993323,female,muscle gain
Neck Flexion,Weighted,Basic or Auxiliary,Isolated,Pull,Place folded towel on weight plate. Lie supine perpendicular on bench with low back and hips extending off and feet on floor. Place weight and towel on forehead. Place plates on forehead with towel placed in between for comfort.,Move head up by flexing neck until chin touches upper chest. Return by hyperextending neck and repeat.,"Sternocleidomastoid,","Rectus Abdominis, Obliques, ",Neck,2,Sternocleidomastoid,4,12,20.82859637,female,muscle gain
Lateral Neck Flexion,Weighted,Auxiliary,Isolated,Pull,Place folded towel on weight plate. Lie on bench on side with knees and hips bent and arm hanging over edge. Position weight and towel on side of upper head. Hold weight on side of head with hand of upper arm. Place hand of lower arm on floor for support.,Move head up to side by laterally flexing neck. Lower head to opposite side and repeat. Lie on other side and continue.,"Sternocleidomastoid,",,Neck,2,"Sternocleidomastoid, Levator Scapulae",5,10,21.24120759,female,muscle gain
Wall Front Neck Bridge,Body Weight,Basic or Auxiliary,Isolated,Push & Pull,"Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side, stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips.",Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.,"Sternocleidomastoid,","Rectus Abdominis, Obliques, Quadriceps, ",Neck,3,"Sternocleidomastoid, Upper Trapezius",4,11,22.91966123,female,muscle gain
Wall Side Neck Bridge,Body Weight,Auxiliary,Isolated,Pull,"Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips.",Push side of head into mat and roll onto top of head moving body away from mat. Return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. Repeat.,"Sternocleidomastoid,","Gluteus Medius, Gluteus Minimus, ",Neck,3,"Sternocleidomastoid, Upper Trapezius",4,10,20.84352209,female,muscle gain
Neck Flexion,Suspended,Basic or Auxiliary,Isolated,Pull,Place belt or strap around end of suspension trainer. Face away from suspension trainer with belt in hand. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to back of mid-head. Step forward until suspension trainer is taut. Lean forward at angle against support of belt and suspension trainer by stepping back slightly while keeping head and body straight.,Increase angle of body by bowing head until chin touches upper chest. Lower angle of body by raising head. Repeat.,"Sternocleidomastoid,",,Neck,2,Sternocleidomastoid,5,11,21.7934103,female,muscle gain
Lateral Neck Flexion,Suspended,Auxiliary,Isolated,Pull,Place belt or strap around end of suspension trainer. Hold belt in hand and stand away from suspension trainer so it hangs to one side. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to head above ear closest to suspension trainer. Step further away from suspension trainer until it is taut. Lean away at angle against support of belt and suspension trainer by positioning feet closer to side of suspension trainer while keeping head and body straight.,Lower angle of body by tilting head to side of suspension trainer. Increase angle of body by tilting head away from side of suspension trainer. Repeat and continue in opposite position.,"Sternocleidomastoid,",,Neck,2,"Sternocleidomastoid, Levator Scapulae",4,14,22.51264072,female,muscle gain
Neck Extension,Cable,Basic or Auxiliary,Isolated,Pull,Sit on bench facing pulley. Place neck in harness cable attachment. Place forearms on lower thighs for support.,Move head away from pulley by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,"Splenius,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Latissimus Dorsi, Rhomboids, Triceps Brachii, Coracobrachialis, ",Neck,2,"Upper Trapezius, Splenius",5,10,22.24567153,female,muscle gain
Neck Extension,Lever (plate loaded),Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,"Splenius,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Serratus Anterior, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",Neck,2,"Upper Trapezius, Splenius",3,9,21.65515875,female,muscle gain
Neck Extension,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Place back of head under padded lever. Position body so neck is in line with lever axis. Grasp handles for support.,Move head back by hyperextending neck. Return by bending neck forward until chin touches upper chest. Repeat.,"Splenius,","Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Serratus Anterior, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, ",Neck,2,"Upper Trapezius, Splenius",5,14,20.94664194,female,muscle gain
Seated Neck Extension,Weighted,Basic or Auxiliary,Isolated,Pull,"Place folded towel on weight plate. On bench or stool, sit bent over on thighs. With both hands, place plate(s) on back of head with towel placed in between for comfort.",Move head up by hyperextending neck up as high as possible. Return by bending neck down until chin touches upper chest. Repeat.,"Splenius,","No significant stabilizers, ",Neck,2,"Upper Trapezius, Splenius",5,13,20.49872479,female,muscle gain
Seated Neck Extension:  Harness,Weighted,Basic or Auxiliary,Isolated,Pull,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.,Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,"Splenius,","No significant stabilizers, ",Neck,3,"Upper Trapezius, Splenius",3,8,22.0198339,female,muscle gain
Neck Retraction,Band Resistive,Basic or Auxiliary,Isolated,Pull,Sit on bench with weighted neck harness on head. Allow weight to dangle in front by bending over.,Move head up by hyperextending neck. Return by bending neck down until chin touches upper chest. Repeat.,"Splenius,","No significant stabilizers, ",Neck,1,"Splenius, Upper Trapezius",5,8,20.5184071,female,muscle gain
Wall Rear Neck Bridge,Body Weight,Basic or Auxiliary,Isolated,Pull,Hold small or folded cushioned mat behind head. Facing away from wall or column position head and back of shoulders low on wall or column with mat between. Stand with feet far away from wall or column so body is angled back. Position hips and back straight and bend knees just slightly. Place arms to side or hold hands on abdomen.,Push head back into mat and roll head upward. Arch spine and straighten knees. Hyperextend neck so head is facing up. Return to original position by rolling head down while allowing low back to straighten and knees to bend slightly. Continue down until back of head and shoulders make contact with mat. Repeat.,"Splenius,","Gluteus Maximus, ",Neck,3,"Upper Trapezius, Erector Spinae",3,8,21.4053265,female,muscle gain
Lying Neck Retraction,Isometric,Auxiliary,Isolated,Pull,Lie supine on mat.,Push head into mat and hold position. Relax and repeat.,"Splenius,",,Neck,1,"Splenius, Upper Trapezius",5,14,21.57305569,female,muscle gain
Neck Extension,Suspended,Basic or Auxiliary,Isolated,Pull,Place belt or strap around end of suspension trainer. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to forehead. Step back facing direction of suspension trainer until it is taut. Lean back at angle against support of belt and suspension trainer by stepping forward slightly while keeping head and body straight.,Lower angle of body by bowing head until chin is near upper chest. Increase angle of body by raising head. Repeat.,"Splenius,",,Neck,2,"Upper Trapezius, Splenius",5,11,21.1372891,female,muscle gain
Front Raise,Barbell,Auxiliary,Isolated,Push,Grasp barbell with overhand grip with elbows straight or slightly bent.,Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat.,"Anterior Deltoid,","Trapezius, Upper, Levator Scapulae, Wrist Extensors, ",Shoulder,2,"Anterior Deltoid, Serratus Anterior",5,12,20.84828096,female,muscle gain
